employee_id,employee_name,shift_date,clock_in,assigned_run_id,clock_out,status
4417,"Keeler, Raymond T.",10/17/2025,10/17/2025 22:00,512-OWL,10/18/2025 02:35,EARLY_OUT — REMOVED FROM SERVICE PER RPD FIELD ACTION; SEE INCIDENT LOG IR-2025-1018
4082,"Sanchez, Nia D.",10/17/2025,10/17/2025 22:05,510-OWL,10/18/2025 05:32,OK
4256,"Owusu, Kwame A.",10/17/2025,10/17/2025 22:03,511-OWL,10/18/2025 05:28,OK
4188,"Buhr, Vincent P.",10/17/2025,10/17/2025 22:11,514-OWL,10/18/2025 05:35,LATE_IN 5 MIN (WITHIN GRACE)
3921,"Ridley, Charmaine M.",10/17/2025,10/17/2025 21:58,517-OWL,10/18/2025 05:29,OK
4335,"Villareal, Xavier L.",10/17/2025,10/17/2025 22:07,519-OWL,10/18/2025 05:33,OK
3757,"Bevington, Wallace T.",10/17/2025,10/17/2025 21:30,YARD-3 (Hostler / Pullout),10/18/2025 05:45,OK
3812,"Nagata, Sumiko",10/17/2025,10/17/2025 21:30,YARD-5 (Hostler / Pullout),10/18/2025 05:45,OK
4051,"Delahoussaye, Cyril B.",10/17/2025,10/17/2025 22:00,OWL-SUP-3 (Street Supervisor),10/18/2025 06:00,OK
4058,"Franzen, Ilse M.",10/17/2025,10/17/2025 22:00,OWL-SUP-5 (Street Supervisor),10/18/2025 06:00,OK
4471,"Cheong, Bailey J.",10/17/2025,10/17/2025 22:00,EB-3A (Extra Board),10/18/2025 05:30,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4523,"Alvarado, Marisol E.",10/17/2025,10/17/2025 22:00,EB-3B (Extra Board),10/18/2025 05:30,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4104,"Weizmann, Otto R.",10/17/2025,10/17/2025 22:00,EB-3C (Extra Board),10/18/2025 04:15,RELEASED EARLY (BOARD COVER STOOD DOWN)
4666,"Guttridge, Patrice L.",10/17/2025,10/17/2025 22:00,EB-5A (Extra Board),10/18/2025 05:30,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4712,"Marchetti, Fausto",10/17/2025,10/17/2025 22:00,EB-5B (Extra Board),10/18/2025 05:30,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4229,"Prasad, Rohini K.",10/18/2025,10/18/2025 02:45,512-RELIEF (COVER),10/18/2025 05:30,RELIEF INJECTION — 512-OWL BLOCK COVER (SEE DISPATCH LOG)
3844,"Odenkirk, Melvin J.",10/18/2025,10/18/2025 02:45,510-RELIEF (COVER),10/18/2025 05:32,RELIEF INJECTION — HEADWAY RECOVERY (SEE DISPATCH LOG)
4390,"Steiner, Antonia G.",10/18/2025,10/18/2025 03:00,511-RELIEF (COVER),10/18/2025 05:33,RELIEF INJECTION — LATE CALL-OUT COVER
4602,"Muñoz-Kellerman, Roland F.",10/17/2025,10/17/2025 22:00,512-STANDBY,10/18/2025 03:15,STANDBY — RELEASED (COVER FULFILLED BY BADGE 4229)
4133,"Trilling, Josephine A.",10/17/2025,10/17/2025 22:00,514-STANDBY,10/18/2025 05:30,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4287,"Baskin, Odetta P.",10/17/2025,10/17/2025 22:00,517-STANDBY,10/18/2025 05:30,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4019,"Halverson, Peter K.",10/17/2025,10/17/2025 22:30,OWL-MAINT-RUN (Non-Revenue),10/18/2025 04:45,"OK — MAINT SHUTTLE, DIV. 3 ↔ DIV. 5"
4448,"Ostergaard, Linnea B.",10/17/2025,10/17/2025 22:00,EB-3D (Extra Board),10/18/2025 05:30,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
