Superior Court of California — County of Los Angeles — Norwalk Courthouse
12720 Norwalk Boulevard, Norwalk, CA 90650
Docket / Register of Actions — Criminal Case Summary
People of the State of California v. Raymond T. Keeler
Case No. NA123456-01
Department N-C — Hon. Marion T. Escamilla, Judge presiding
Charging Agency: Los Angeles County District Attorney's Office (Norwalk Branch)
Investigating Agency: Rivergate Police Department (Agency Report No. TC-2025-1018)
Export date: 04/06/2026    Format: comma-separated values

docket_seq,event_date,event_type,filing_party,description,disposition
1,10/18/2025,Arrest and Booking,Rivergate Police Department,"Warrantless felony arrest of Raymond T. Keeler (DOB 04/11/1979) at 02:35 hrs following investigation of traffic collision at South Main Street and Third Avenue, Rivergate; probable cause Veh. Code § 23153(a); Miranda advisement given; implied-consent election taken (Veh. Code § 23612 — blood); evidentiary blood specimen drawn at Rivergate Regional Trauma Center at approximately 03:10 hrs and transferred under chain of custody to LASD-SSB Crime Laboratory (RPD Report No. TC-2025-1018; Officer Ramona Delacruz, RPD #2814)",Defendant booked into custody pending initial appearance
2,10/19/2025,Custody Release,Los Angeles County Sheriff — Custody Division,Defendant released on own recognizance pending arraignment on felony complaint; release conditions include appearance at all scheduled hearings and no operation of motor vehicle with measurable alcohol pending DMV administrative action,"Released 10/19/2025; 2 days custody credit (1 actual + 1 conduct, Pen. Code § 4019)"
3,10/20/2025,Notice of Arraignment — Calendar Entry,Clerk of the Superior Court,Clerk entry setting matter for arraignment upon filing of felony complaint by the People; matter to be calendared in Dept. N-C (Norwalk Courthouse) upon filing,Calendared — arraignment date to be noticed upon complaint filing
4,11/14/2025,Felony Complaint Filed (Case No. NA123456-01),"People of the State of California — DDA Priya Mahalingam, Los Angeles County District Attorney's Office, Norwalk Branch","Two-count felony complaint filed against Raymond T. Keeler. Count 1 — Veh. Code § 23153(a) (driving under the influence causing bodily injury, felony). Count 2 — Veh. Code § 23153(b) (driving with BAC 0.08% or more causing bodily injury, felony). Enhancement allegations: (A) Pen. Code § 12022.7(a) great bodily injury as to Yolanda Reyes; (B) Pen. Code § 12022.7(a) great bodily injury as to Devin Cho; (C) Pen. Code § 12022.7(a) great bodily injury as to Alicia Mowbray; (D) Veh. Code § 23558 multiple victims. Verified declaration executed by DDA Mahalingam at Norwalk, California, on 11/14/2025. Supporting documentary references: RPD Report No. TC-2025-1018; LASD-SSB Certificate of Analysis No. 25-0442117 dated 11/07/2025 (whole-blood ethanol 0.14% w/v, Criminalist Alan Whitford); chain-of-custody Form COC-25-0442117",Filed; arraignment set for 11/21/2025 in Dept. N-C
5,11/21/2025,Arraignment on Felony Complaint,Court,"Defendant personally present, out of custody on bail/O.R. Counsel appointed for defendant: Adrian E. Bellamy, Deputy Public Defender, Los Angeles County Public Defender's Office. Court advised defendant of the nature of the charges in Case No. NA123456-01, of the maximum possible penalties, and of constitutional rights (Boykin/Tahl). Defendant acknowledged receipt of complaint. Defendant entered a plea of NOT GUILTY to Counts 1 and 2 and DENIED all § 12022.7(a) and § 23558 enhancement allegations. People submitted initial discovery. Protective order (Pen. Code § 136.2) declined by the People; standard stay-away and no-contact conditions declined. Release status continued on prior O.R. conditions",Not guilty plea entered; preliminary hearing set within statutory time
6,12/05/2025,Pretrial Discovery Status,Court,Trial-court readiness / discovery status conference. People confirmed production of initial discovery: RPD Traffic Collision Report No. TC-2025-1018; audio-video from RPD field response; chain-of-custody documentation; LASD-SSB Certificate of Analysis dated 11/07/2025; DMV records return; and preliminary witness list. Defense reserved right to file § 1538.5 suppression and § 1054 motions,Matter continued to preliminary hearing
7,12/12/2025,Preliminary Hearing (Pen. Code § 872),Court,"Preliminary hearing held before Hon. Marion T. Escamilla. Witnesses called by the People: Officer Ramona Delacruz, RPD #2814 (percipient — collision investigation, field sobriety, arrest); Criminalist Alan Whitford, LASD-SSB (analyst — evidentiary blood BAC). Exhibits admitted: People's 1 — RPD Report No. TC-2025-1018; People's 2 — LASD-SSB Certificate of Analysis No. 25-0442117 (0.14% w/v); People's 3 — Chain-of-Custody Form COC-25-0442117; People's 4 — booking record. Defense presented no witnesses; cross-examination only. Court found sufficient cause to believe defendant committed the offenses charged and the enhancements alleged",Defendant HELD TO ANSWER on Counts 1 and 2 and on all enhancement allegations
8,12/19/2025,Information Filed and Arraignment on Information,People / Court,Information filed by the People restating the two felony counts and enhancement allegations consistent with the 12/12/2025 holding order. Defendant personally present with Deputy Public Defender Bellamy. Arraigned on the Information; acknowledged receipt; entered a plea of NOT GUILTY to Counts 1 and 2 and DENIED all enhancements. Matter set for pretrial conference. Time not waived at this stage,Not guilty plea to Information; pretrial conference set 01/23/2026
9,01/23/2026,Pretrial Conference,Court,Trial readiness / pretrial conference. Parties reported ongoing plea discussions. Defense reported review of blood-specimen chain of custody complete and no § 1538.5 motion contemplated. Defense inquiry as to eligibility for the first-offender DUI-causing-injury program under Veh. Code § 23556(b)(3); People represented no objection contingent on plea to Count 1. No motions filed,Continued for further pretrial negotiations
10,02/13/2026,Pretrial Conference and Continuance,Court — joint motion of parties,"On joint motion of the People and defense, matter continued for further plea negotiations, completion of victim-impact information from Rivergate Regional Trauma Center and Alder Creek Neuro-Rehabilitation Institute, and coordination with the Los Angeles County Probation Department regarding disposition terms. Defendant personally waived statutory speedy-trial time on the record (Pen. Code §§ 1049.5, 1050); court made findings of good cause; no showing of prejudice to defendant",Continued to 03/13/2026 on stipulation; time waived by defendant
