badge_number,operator_name,division,block_assignment,sign_in_time,sign_out_time,actual_hours,timekeeping_flag
4417,"Keeler, Raymond T.",Div. 3 Rivergate Yard,512-OWL,10/17/2025 22:00,10/18/2025 02:35,4.58,EARLY_OUT — REMOVED FROM SERVICE PER RPD FIELD ACTION; SEE INCIDENT LOG IR-2025-1018
4082,"Sanchez, Nia D.",Div. 3 Rivergate Yard,510-OWL,10/17/2025 22:05,10/18/2025 05:32,7.45,OK
4256,"Owusu, Kwame A.",Div. 3 Rivergate Yard,511-OWL,10/17/2025 22:03,10/18/2025 05:28,7.42,OK
4188,"Buhr, Vincent P.",Div. 3 Rivergate Yard,514-OWL,10/17/2025 22:11,10/18/2025 05:35,7.40,LATE_IN 5 MIN (WITHIN GRACE)
3921,"Ridley, Charmaine M.",Div. 5 South Yard,517-OWL,10/17/2025 21:58,10/18/2025 05:29,7.52,OK
4335,"Villareal, Xavier L.",Div. 5 South Yard,519-OWL,10/17/2025 22:07,10/18/2025 05:33,7.43,OK
3757,"Bevington, Wallace T.",Div. 3 Rivergate Yard,YARD-3 (Hostler / Pullout),10/17/2025 21:30,10/18/2025 05:45,8.25,OK
3812,"Nagata, Sumiko",Div. 5 South Yard,YARD-5 (Hostler / Pullout),10/17/2025 21:30,10/18/2025 05:45,8.25,OK
4051,"Delahoussaye, Cyril B.",Div. 3 Rivergate Yard,OWL-SUP-3 (Street Supervisor),10/17/2025 22:00,10/18/2025 06:00,8.00,OK
4058,"Franzen, Ilse M.",Div. 5 South Yard,OWL-SUP-5 (Street Supervisor),10/17/2025 22:00,10/18/2025 06:00,8.00,OK
4471,"Cheong, Bailey J.",Div. 3 Rivergate Yard,EB-3A (Extra Board),10/17/2025 22:00,10/18/2025 05:30,7.50,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4523,"Alvarado, Marisol E.",Div. 3 Rivergate Yard,EB-3B (Extra Board),10/17/2025 22:00,10/18/2025 05:30,7.50,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4104,"Weizmann, Otto R.",Div. 3 Rivergate Yard,EB-3C (Extra Board),10/17/2025 22:00,10/18/2025 04:15,6.25,RELEASED EARLY (BOARD COVER STOOD DOWN)
4666,"Guttridge, Patrice L.",Div. 5 South Yard,EB-5A (Extra Board),10/17/2025 22:00,10/18/2025 05:30,7.50,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4712,"Marchetti, Fausto",Div. 5 South Yard,EB-5B (Extra Board),10/17/2025 22:00,10/18/2025 05:30,7.50,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4229,"Prasad, Rohini K.",Div. 3 Rivergate Yard,512-RELIEF (COVER),10/18/2025 02:45,10/18/2025 05:30,2.75,RELIEF INJECTION — 512-OWL BLOCK COVER (SEE DISPATCH LOG)
3844,"Odenkirk, Melvin J.",Div. 3 Rivergate Yard,510-RELIEF (COVER),10/18/2025 02:45,10/18/2025 05:32,2.78,RELIEF INJECTION — HEADWAY RECOVERY (SEE DISPATCH LOG)
4390,"Steiner, Antonia G.",Div. 3 Rivergate Yard,511-RELIEF (COVER),10/18/2025 03:00,10/18/2025 05:33,2.55,RELIEF INJECTION — LATE CALL-OUT COVER
4602,"Muñoz-Kellerman, Roland F.",Div. 3 Rivergate Yard,512-STANDBY,10/17/2025 22:00,10/18/2025 03:15,5.25,STANDBY — RELEASED (COVER FULFILLED BY BADGE 4229)
4133,"Trilling, Josephine A.",Div. 3 Rivergate Yard,514-STANDBY,10/17/2025 22:00,10/18/2025 05:30,7.50,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4287,"Baskin, Odetta P.",Div. 5 South Yard,517-STANDBY,10/17/2025 22:00,10/18/2025 05:30,7.50,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
4019,"Halverson, Peter K.",Div. 3 Rivergate Yard,OWL-MAINT-RUN (Non-Revenue),10/17/2025 22:30,10/18/2025 04:45,6.25,"OK — MAINT SHUTTLE, DIV. 3 ↔ DIV. 5"
4448,"Ostergaard, Linnea B.",Div. 3 Rivergate Yard,EB-3D (Extra Board),10/17/2025 22:00,10/18/2025 05:30,7.50,STANDBY — HELD ON BOARD (NO PULLOUT ORDERED)
